Produto,CATEGORIAS,Qtde,Total Venda,Custo,Lucro,LUCRO/MENSAL,,,,,,,,PART %,PART ACC %,
BALCÃO PARA PIA 3G INT. CRU PÉS SIMPLES COR:LYON,,"3,00","R$ 919,00","R$ 543,00","R$ 376,00","R$ 75,20",,,,,,,,"0,12%","18,03%",A
BALCÃO PARA PIA 3G INT. CRU PÉS SIMPLES COR:OLMO,,"5,00","R$ 1.572,59","R$ 905,00","R$ 667,59","R$ 133,52",,,,,,,,"0,21%","18,24%",A
BALCÃO PARA PIA 3G INT. CRU PÉS SIMPLES COR:PRETO,,"3,00","R$ 909,85","R$ 543,00","R$ 366,85","R$ 73,37",,,,,,,,"0,11%","18,35%",A
BALCÃO PARA PIA COPA COR:BRANCO,,"13,00","R$ 3.761,18","R$ 2.338,83","R$ 1.422,35","R$ 284,47",,,,,,,,"0,44%","18,79%",A
BALCÃO PARA PIA COPA COR:FREIJO/BAUNILHA,,"13,00","R$ 3.878,48","R$ 2.338,83","R$ 1.539,65","R$ 307,93",,,,,,,,"0,48%","19,27%",A
BALCÃO PARA PIA COPA COR:FREIJO/CHUMBO,,"16,00","R$ 4.687,66","R$ 2.878,56","R$ 1.809,10","R$ 361,82",,,,,,,,"0,56%","19,83%",A
BALCÃO PARA PIA COPA COR:FREIJO/MOKA,,"4,00","R$ 1.132,00","R$ 719,64","R$ 412,36","R$ 82,47",,,,,,,,"0,13%","19,96%",A
BALCÃO PARA PIA COPA COR:NOGAL/BAUNILHA,,"7,00","R$ 2.054,00","R$ 1.259,37","R$ 794,63","R$ 158,93",,,,,,,,"0,25%","20,20%",A
BALCÃO PARA PIA COPA COR:PRETO,,"24,00","R$ 7.202,26","R$ 4.317,84","R$ 2.884,42","R$ 576,88",,,,,,,,"0,89%","21,09%",A
BALCÃO PARA PIA GRECIA COR:BRANCO,,"8,00","R$ 2.928,45","R$ 1.585,92","R$ 1.342,53","R$ 268,51",,,,,,,,"0,42%","21,51%",A
BALCÃO PARA PIA GRECIA COR:FREIJO/CHUMBO,,"7,00","R$ 2.637,31","R$ 1.387,68","R$ 1.249,63","R$ 249,93",,,,,,,,"0,39%","21,90%",A
BALCÃO PARA PIA GRECIA COR:MONTANA/AVELA,,"3,00","R$ 998,00","R$ 594,72","R$ 403,28","R$ 80,66",,,,,,,,"0,12%","22,02%",A
BALCÃO PARA PIA GRECIA COR:NOGAL/BAUNILHA,,"7,00","R$ 2.689,00","R$ 1.387,68","R$ 1.301,32","R$ 260,26",,,,,,,,"0,40%","22,43%",A
BANCADA AUSTIN COR:CINAMOMO MEL/PEROLA METALIZADO,,"1,00","R$ 349,00","R$ 211,15","R$ 137,85","R$ 27,57",,,,,,,,"0,04%","22,47%",A
BANCADA CHARLOTTE COR:CINAMOMO MEL,,"1,00","R$ 599,00","R$ 275,70","R$ 323,30","R$ 64,66",,,,,,,,"0,10%","22,57%",A
BANCADA NT 1180 COR:FREIJÓ/OFF WHITE,,"3,00","R$ 1.298,00","R$ 777,00","R$ 521,00","R$ 104,20",,,,,,,,"0,16%","22,73%",A
BANCADA NT 1180 COR:FREIJÓ/PRETO TX,,"2,00","R$ 866,28","R$ 518,00","R$ 348,28","R$ 69,66",,,,,,,,"0,11%","22,84%",A
BANCADA NT 1285 COR:FREIJO/OFF WHITE,,"1,00","R$ 499,00","R$ 285,00","R$ 214,00","R$ 42,80",,,,,,,,"0,07%","22,90%",A
BANCADA NT 1315 COR:FREIJO/PRETO TX,,"4,00","R$ 1.951,73","R$ 1.140,00","R$ 811,73","R$ 162,35",,,,,,,,"0,25%","23,15%",A
BANQUETA JADE COR:CROMADA COR 110 DE METAL,,"5,00","R$ 847,00","R$ 643,95","R$ 203,05","R$ 40,61",,,,,,,,"0,06%","23,22%",A
BANQUETA JADE COR:PRETO FOSCO COR 110 DE METAL,,"9,00","R$ 1.442,74","R$ 1.159,11","R$ 283,63","R$ 56,73",,,,,,,,"0,09%","23,31%",A
BANQUETA PETRA COR:PRETO FOSCO COR 110 DE METAL,,"6,00","R$ 954,00","R$ 500,88","R$ 453,12","R$ 90,62",,,,,,,,"0,14%","23,45%",A
Base Bau Jsw 088x188cm,SALVADOS,"5,00","R$ 2.467,63","R$ 897,60","R$ 1.570,03","R$ 314,01",,,,,,,,"0,49%","23,93%",A
Base Bau Jsw Multi 138x188cm Salvados,SALVADOS,"9,00","R$ 5.443,51","R$ 1.812,78","R$ 3.630,73","R$ 726,15",,,,,,,,"1,12%","25,06%",A
BASE BOX ADF 138X188X27 COR/TECIDO:VELUDO PRETO,,"1,00","R$ 349,00","R$ 179,00","R$ 170,00","R$ 34,00",,,,,,,,"0,05%","25,11%",A
BASE BOX IDEALSONO MEDIDA:138;COR:MARROM ESCURO,,"1,00","R$ 349,00","R$ 165,00","R$ 184,00","R$ 36,80",,,,,,,,"0,06%","25,17%",A
BASE BOX IDEALSONO MEDIDA:138;COR:PRETO,,"2,00","R$ 798,00","R$ 330,00","R$ 468,00","R$ 93,60",,,,,,,,"0,14%","25,31%",A
BASE BOX IDEALSONO MEDIDA:88;COR:AZUL,,"2,00","R$ 498,00","R$ 330,00","R$ 168,00","R$ 33,60",,,,,,,,"0,05%","25,36%",A
BASE BOX IDEALSONO MEDIDA:88;COR:CINZA CLARO,,"2,00","R$ 498,00","R$ 330,00","R$ 168,00","R$ 33,60",,,,,,,,"0,05%","25,42%",A
BASE BOX MAJESTIC 188X138,,"1,00","R$ 449,00","R$ 251,52","R$ 197,48","R$ 39,50",,,,,,,,"0,06%","25,48%",A
base box majestic 188x88,,"1,00","R$ 316,81","R$ 199,97","R$ 116,84","R$ 23,37",,,,,,,,"0,04%","25,51%",A
BASE BOX POLIESTER MARROM QUADRICULADO TAMANHO:24X188X138,,"6,00","R$ 2.319,79","R$ 1.134,00","R$ 1.185,79","R$ 237,16",,,,,,,,"0,37%","25,88%",A
