Produto,CATEGORIAS,Qtde,Total Venda,Custo,Lucro,LUCRO/MENSAL,,,,,,,,PART %,PART ACC %,
MESA PARA ESCRITÓRIO TURIM COR:PRETO,,"1,00","R$ 299,00","R$ 158,56","R$ 140,44","R$ 23,41","17,71%",Q4 – Baixo lucro / Baixo giro,,"114,95%","0,00","0,00","0,00",,,
roupeiro 2p 2g jk cor:lyon,,"1,00","R$ 400,00","R$ 261,00","R$ 139,00","R$ 23,17","10,65%",Q4 – Baixo lucro / Baixo giro,,"115,26%","0,40","0,40","0,16",,,
COLCHÃO (BOX) CONJUGADO 188X88X41 D-28,,"1,00","R$ 449,00","R$ 310,46","R$ 138,54","R$ 23,09","8,92%",Q4 – Baixo lucro / Baixo giro,,"115,58%","1,35","0,37","0,50",,,
CABECEIRA PEROLA BEGE LARG.:138,,"1,00","R$ 288,51","R$ 150,00","R$ 138,51","R$ 23,09","18,47%",Q4 – Baixo lucro / Baixo giro,,"115,89%","1,38","1,88","2,59",,,
BANCADA AUSTIN COR:CINAMOMO MEL/PEROLA METALIZADO,,"1,00","R$ 349,00","R$ 211,15","R$ 137,85","R$ 22,98","13,06%",Q4 – Baixo lucro / Baixo giro,,"116,20%","2,08","2,17","4,51",,,
TAMPO MDP DACHERI COR:PRETO,,"2,00","R$ 235,00","R$ 98,08","R$ 136,92","R$ 22,82","27,92%",Q4 – Baixo lucro / Baixo giro,,"116,51%","0,40","0,40","0,16",,,
GABINETE DE BANHEIRO VERONA FREIJO/BRANCO,,"1,00","R$ 399,00","R$ 265,60","R$ 133,40","R$ 22,23","10,05%",Q4 – Baixo lucro / Baixo giro,,"116,82%","0,00","0,00","0,00",,,
CABECEIRA LETICIA CACAU 158 COR:CACAU,,"1,00","R$ 330,00","R$ 199,00","R$ 131,00","R$ 21,83","13,17%",Q4 – Baixo lucro / Baixo giro,,"117,13%","1,86","0,50","0,93",,,
SOFÁ POP ADEMIR TAMANHO:2 LUGARES;COR:MARROM ESCURO,,"1,00","R$ 349,00","R$ 220,00","R$ 129,00","R$ 21,50","11,73%",Q4 – Baixo lucro / Baixo giro,,"117,45%","0,40","0,40","0,16",,,
CRIADO MUDO AROMA 2G COR:PRETO,,"2,00","R$ 369,00","R$ 245,34","R$ 123,66","R$ 20,61","10,08%",Q4 – Baixo lucro / Baixo giro,,"117,76%","1,47","0,47","0,69",,,
CADEIRA DIRETOR C200 BEST,,"1,00","R$ 399,00","R$ 278,00","R$ 121,00","R$ 20,17","8,71%",Q4 – Baixo lucro / Baixo giro,,"118,07%","1,47","0,47","0,69",,,
FRUTEIRA REGIA COR:BRANCO,,"1,00","R$ 249,00","R$ 128,33","R$ 120,67","R$ 20,11","18,81%",Q4 – Baixo lucro / Baixo giro,,"118,38%","1,86","0,50","0,93",,,
"ARMÁRIO AÉREO 3PTS 1,20 JK COR:PRETO",,"1,00","R$ 300,00","R$ 182,00","R$ 118,00","R$ 19,67","12,97%",Q4 – Baixo lucro / Baixo giro,,"118,69%","1,30","0,80","1,04",,,
base box majestic 188x88,,"1,00","R$ 316,81","R$ 199,97","R$ 116,84","R$ 19,47","11,69%",Q4 – Baixo lucro / Baixo giro,,"119,00%","1,20","0,30","0,36",,,
CABECEIRA PEROLA AZUL LARG.:88,,"1,00","R$ 215,25","R$ 100,00","R$ 115,25","R$ 19,21","23,05%",Q4 – Baixo lucro / Baixo giro,,"119,31%","1,32","0,45","0,59",,,
PUFF MODELO ROMULO PES JADE MUNDIAL FLEX COR:VERMELHO,,"2,00","R$ 258,00","R$ 144,00","R$ 114,00","R$ 19,00","15,83%",Q4 – Baixo lucro / Baixo giro,,"119,63%","0,40","0,40","0,16",,,
PAINEL NT 1190 COR:FREIJO/OFF WHITE,,"1,00","R$ 300,00","R$ 189,00","R$ 111,00","R$ 18,50","11,75%",Q4 – Baixo lucro / Baixo giro,,"119,94%","0,40","0,40","0,16",,,
CAMA SOLTEIRO ATENAS (COLCHAO 88 CM) IMBUIA,,"1,00","R$ 300,00","R$ 190,00","R$ 110,00","R$ 18,33","11,58%",Q4 – Baixo lucro / Baixo giro,,"120,25%","1,23","0,50","0,62",,,
PUFF PALITO REDONDO MUNDIAL FLEX COR:VINHO,,"2,00","R$ 229,98","R$ 122,00","R$ 107,98","R$ 18,00","17,70%",Q4 – Baixo lucro / Baixo giro,,"120,56%","0,40","0,40","0,16",,,
BALCÃO PARA PIA 3G INT. CRU PÉS SIMPLES COR:BRANCO,,"1,00","R$ 282,19","R$ 181,00","R$ 101,19","R$ 16,87","11,18%",Q4 – Baixo lucro / Baixo giro,,"120,87%","0,30","0,30","0,09",,,
CABECEIRA DUDA MARROM LARG.:88,,"1,00","R$ 199,00","R$ 100,00","R$ 99,00","R$ 16,50","19,80%",Q4 – Baixo lucro / Baixo giro,,"121,18%","1,20","0,40","0,48",,,
"ARMARIO AÉREO MILA 1,20 COR:FREIJO/OFFWHITE",,"1,00","R$ 249,00","R$ 151,93","R$ 97,07","R$ 16,18","12,78%",Q4 – Baixo lucro / Baixo giro,,"121,50%","1,55","0,45","0,70",,,
COLCHÃO DREAM GAZIN TAMANHO:150X70,,"2,00","R$ 276,55","R$ 182,52","R$ 94,03","R$ 15,67","10,30%",Q4 – Baixo lucro / Baixo giro,,"121,81%","1,20","0,50","0,60",,,
TÁBUA DE PASSAR MIAMI COR:BRANCO,,"1,00","R$ 199,00","R$ 105,05","R$ 93,95","R$ 15,66","17,89%",Q4 – Baixo lucro / Baixo giro,,"122,12%","0,40","0,40","0,16",,,
BALCAO PARA COOKTOP CATAR COR:BRANCO BRILHO,,"1,00","R$ 274,37","R$ 180,66","R$ 93,71","R$ 15,62","10,37%",Q4 – Baixo lucro / Baixo giro,,"122,43%","0,60","0,60","0,36",,,
CABECEIRA PEROLA VINHO LARG.:88,,"1,00","R$ 188,42","R$ 100,00","R$ 88,42","R$ 14,74","17,68%",Q4 – Baixo lucro / Baixo giro,,"122,74%","0,80","1,85","1,48",,,
FIXAÇÃO DO PAINEL,,"2,00","R$ 87,14","R$ 1,00","R$ 86,14","R$ 14,36","1722,80%",Q4 – Baixo lucro / Baixo giro,,"123,05%","1,80","0,80","1,44",,,
CRIADO MUDO MILÃO MOPAR COR:FREIJO/OFF WHITE,,"1,00","R$ 180,00","R$ 95,28","R$ 84,72","R$ 14,12","17,78%",Q4 – Baixo lucro / Baixo giro,,"123,36%","0,00","0,00","0,00",,,
CABECEIRA PEROLA ROSE TAMANHO:88,,"1,00","R$ 182,61","R$ 100,00","R$ 82,61","R$ 13,77","16,52%",Q4 – Baixo lucro / Baixo giro,,"123,68%","0,00","0,00","0,00",,,
AÉREO 80CM PARA GEL. VOLLARE COR:BRANCO,,"1,00","R$ 151,85","R$ 76,51","R$ 75,34","R$ 12,56","19,69%",Q4 – Baixo lucro / Baixo giro,,"123,99%","0,90","0,20","0,18",,,
"ARMARIO AÉREO MILA 1,20 COR:PRETO",,"1,00","R$ 225,00","R$ 151,93","R$ 73,07","R$ 12,18","9,62%",Q4 – Baixo lucro / Baixo giro,,"124,30%","2,60","0,60","1,56",,,
CRIADO MUDO APOLO MOVELIPE COR:CASTANHO/AVELÃ/OFF FLEX,,"1,00","R$ 188,99","R$ 117,00","R$ 71,99","R$ 12,00","12,31%",Q4 – Baixo lucro / Baixo giro,,"124,61%","3,50","0,50","1,75",,,
PUFF MODELO ROMULO PES JADE MUNDIAL FLEX COR:ROSE,,"1,00","R$ 136,59","R$ 72,00","R$ 64,59","R$ 10,77","17,94%",Q4 – Baixo lucro / Baixo giro,,"124,92%","0,40","0,40","0,16",,,
MULTIUSO TOULON COR:BRANCO,,"1,00","R$ 151,01","R$ 89,72","R$ 61,29","R$ 10,22","13,66%",Q4 – Baixo lucro / Baixo giro,,"125,23%","0,40","0,40","0,16",,,
TAMPO MDP DACHERI COR:CHUMBO,,"1,00","R$ 110,00","R$ 49,04","R$ 60,96","R$ 10,16","24,86%",Q4 – Baixo lucro / Baixo giro,,"125,55%","0,40","0,40","0,16",,,
sofa cama azul,,"1,00","R$ 760,00","R$ 700,00","R$ 60,00","R$ 10,00","1,71%",Q4 – Baixo lucro / Baixo giro,,"125,86%","0,40","0,40","0,16",,,
PAINEL EXTENSIVO FRESNO MOBLER COR:CINAMOMO MEL/PÉROLA METALIZADO,,"1,00","R$ 199,00","R$ 141,49","R$ 57,51","R$ 9,59","8,13%",Q4 – Baixo lucro / Baixo giro,,"126,17%","0,40","0,40","0,16",,,
PAINEL EXTENSIVO FRESNO MOBLER COR:PÉROLA METALIZADO/CINAMOMO MEL,,"1,00","R$ 199,00","R$ 141,49","R$ 57,51","R$ 9,59","8,13%",Q4 – Baixo lucro / Baixo giro,,"126,48%","0,40","0,40","0,16",,,
COLCHÃO HENTARES 78 PRETO,,"1,00","R$ 199,00","R$ 149,50","R$ 49,50","R$ 8,25","6,62%",Q4 – Baixo lucro / Baixo giro,,"126,79%","1,60","0,40","0,64",,,
COLCHÃO DREAM GAZIN TAMANHO:130X60,,"1,00","R$ 119,00","R$ 77,84","R$ 41,16","R$ 6,86","10,58%",Q4 – Baixo lucro / Baixo giro,,"127,10%","1,35","0,30","0,41",,,
"COLCHÃO 1,38 CASAL ALT 30 EVALDO MOLA ENSACADA",,"1,00","R$ 600,00","R$ 699,00","-R$ 99,00","-R$ 16,50","-2,83%",Q4 – Baixo lucro / Baixo giro,,"127,41%","2,60","2,30","5,98",,,
,,,,,,"R$ 43.715,99",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"0,00%","47,70%",A
,,,,,,,,,,,,,,"0,00%","47,70%",A
,,,,,,,,,,,,,,"0,00%","47,70%",A
,,,,,,,,,,,,,,"0,00%","47,70%",A
,,"1.600,00","R$ 620.673,75","R$ 358.627,19","R$ 262.046,56","R$ 87.431,97",,,,,,,,"47,70%",,
,,,,,,,,"0,7306935093",,,,,,,,
,,,,,,,,,,recem/FORA DE LINHA,"160.726,57","74,07%",,,,
Código,Produto,Un,Quantidade,Valor unitário,Valor total,,,,,Q1 – Alto lucro / Alto giro,"0,00","0,00%",,,,
201,"AEREO 1,60 M 1º LINHA JK COR:BRANCO",UN,3,"R$ 238,00",714,,,#REF!,,Q2 – Baixo lucro / Alto giro,"0,00","0,00%",,,,
284,AÉREO 3 PORTAS 120CM FLORENÇA COR:ANGELIN,UN,4,"R$ 206,76","827,04",,,#REF!,,Q3 – Alto lucro / Baixo giro,"0,00","0,00%",,,,
283,AÉREO 3 PORTAS 120CM FLORENÇA COR:CANARY,UN,2,"R$ 206,76","413,52",,,#REF!,,Q4 – Baixo lucro / Baixo giro,"56.273,43","25,93%",,,,
,AÉREO POP/VENEZA COR:FREIJO/BAUNILHA,UN,2,"R$ 160,00",320,,,#REF!,,,"217.000,00",,,,,
,AÉREO POP/VENEZA COR:FREIJO/CHUMBO,UN,2,"R$ 160,00",320,,,#REF!,,,,,,,,
420,AMERICA PONTE 1950MM 4 PTS COR:FREIJO/GRAFITE,UN,-1,"R$ 350,40",0,,,#REF!,,,,,,,,
190,APARADOR BUFFET QUARTZO COR:CINAMOMO/OFF WHITE,UN,0,"R$ 363,92",0,,,#REF!,,,,,,,,
,APARADOR CAIRO COR:BRANCO,UN,5,"R$ 139,62","698,1",,,#REF!,,,,,,,,
,APARADOR CAIRO COR:FREIJO/BRANCO,UN,2,"R$ 139,62","279,24",,,#REF!,,,,,,,,
,APARADOR CAIRO COR:PRETO,UN,4,"R$ 139,62","558,48",,,#REF!,,,,,,,,
,"ARMÁRIO AÉREO 3PTS 1,20 JK COR:BRANCO",UN,3,"R$ 182,00",546,,,#REF!,,,,,,,,
,ARMÁRIO MULTIUSO LONDRES C/ CHAVES COR:BRANCO,UN,3,"R$ 209,00",627,,,#REF!,,,,,,,,
404,"BALCÃO 1,19 PARA PIA POP (CONJUNTO POP) COR:FREIJO/BAUNILHA",UN,8,"R$ 225,52","1.804,16",,,#REF!,,,,,,,,
403,"BALCÃO 1,19 PARA PIA POP (CONJUNTO POP) COR:FREIJO/CHUMBO",UN,7,"R$ 225,52","1.578,64",,,#REF!,,,,,,,,
290,BALCÃO 2 PORTAS 80 CM FLORENÇA COR:ANGELIN/CINZA,UN,3,"R$ 223,66","670,98",,,#REF!,,,,,,,,
,"BALCÃO C/ TAMPO 1,20 0,40 COR:BRANCO",UN,5,"R$ 202,00","1.010,00",,,#REF!,,,,,,,,
,"BALCÃO C/ TAMPO 1,60 0,50 COR:BRANCO",UN,4,"R$ 287,00","1.148,00",,,#REF!,,,,,,,,
,"BALCÃO C/ TAMPO 1,60 0,50 COR:OLMO",UN,4,"R$ 287,00","1.148,00",,,#REF!,,,,,,,,
,"BALCÃO C/ TAMPO 1,60 0,50 COR:PRETO",UN,2,"R$ 287,00",574,,,#REF!,,,,,,,,
,BALCÃO PARA COOKTOP 1º LINHA JK COR:BRANCO,UN,1,"R$ 177,00",177,,,#REF!,,,,,,,,
107,BALCÃO PARA COOKTOP 80CM MDP POP C/ TAMPO COR:FREIJO/BAUNILHA,UN,7,"R$ 168,00","1.176,00",,,#REF!,,,,,,,,
108,BALCÃO PARA COOKTOP 80CM MDP POP C/ TAMPO COR:FREIJO/CHUMBO,UN,6,"R$ 168,00","1.008,00",,,#REF!,,,,,,,,
,BALCÃO PARA COOKTOP FLÓRIDA COR:BRANCO,UN,3,"R$ 154,78","464,34",,,#REF!,,,,,,,,
242,BALCÃO PARA PIA  JK 1º LINHA 3G BRANCO,UN,2,"R$ 236,00",472,,,#REF!,,,,,,,,
245,BALCÃO PARA PIA  JK 1º LINHA 3G OLMO,UN,2,"R$ 236,00",472,,,#REF!,,,,,,,,
,"BALCÃO PARA PIA 1,60 PERF. REG. PÉS COR:BRANCO",UN,0,"R$ 289,00",0,,,#REF!,,,,,,,,
281,BALCÃO PARA PIA 120CM FLORENÇA COR:ANGELIN/CINZA,UN,5,"R$ 320,61","1.603,05",,,#REF!,,,,,,,,
280,BALCÃO PARA PIA 120CM FLORENÇA COR:CANARY/OFF WHITE,UN,2,"R$ 320,61","641,22",,,#REF!,,,,,,,,
,"BALCÃO PARA PIA 3G 1,00M INT. CRU CORR, METAL COR:BRANCO",UN,0,"R$ 179,00",0,,,#REF!,,,,,,,,
,BALCÃO PARA PIA COPA COR:BRANCO,UN,0,"R$ 179,91",0,,,#REF!,,,,,,,,
269,BALCÃO PARA PIA COPA COR:FREIJO/BAUNILHA,UN,8,"R$ 179,91","1.439,28",,,#REF!,,,,,,,,
,BALCÃO PARA PIA COPA COR:FREIJO/CHUMBO,UN,3,"R$ 179,91","539,73",,,#REF!,,,,,,,,
,BALCÃO PARA PIA COPA COR:NOGAL/BAUNILHA,UN,1,"R$ 179,91","179,91",,,#REF!,,,,,,,,
,BALCÃO PARA PIA COPA COR:PRETO,UN,0,"R$ 179,91",0,,,#REF!,,,,,,,,
,BALCÃO PARA PIA GRECIA COR:BRANCO,UN,1,"R$ 198,24","198,24",,,#REF!,,,,,,,,
,BALCÃO PARA PIA GRECIA COR:FREIJO/CHUMBO,UN,0,"R$ 198,24",0,,,#REF!,,,,,,,,
,BALCÃO PARA PIA GRECIA COR:NOGAL/BAUNILHA,UN,7,"R$ 198,24","1.387,68",,,#REF!,,,,,,,,
,BANCADA NT 1315 COR:FREIJO/PRETO TX,UN,-1,"R$ 285,00",0,,,#REF!,,,,,,,,
124,BASE BOX POLIESTER MARROM QUADRICULADO TAMANHO:24X188X138,UN,-1,"R$ 189,00",0,,,#REF!,,,,,,,,
123,BASE BOX POLIESTER MARROM QUADRICULADO TAMANHO:24X188X88,UN,0,"R$ 159,00",0,,,#REF!,,,,,,,,
125,BASE BOX POLIESTER MARROM QUADRICULADO TAMANHO:24X198X79,UN,-4,"R$ 145,00",0,,,#REF!,,,,,,,,
355,BASE BOX REVESTIDAS LATERAIS EVALDO COR:MARROM,UN,-2,"R$ 200,00",0,,,#REF!,,,,,,,,
,BELICHE MILÃO TORNEADO COR:MARROM ESCURO;LARGURA:80,UN,6,"R$ 298,00","1.788,00",,,#REF!,,,,,,,,
,BELICHE MILÃO TORNEADO COR:MEL;LARGURA:80,UN,5,"R$ 298,00","1.490,00",,,#REF!,,,,,,,,
,BELICHE MILÃO TORNEADO COR:TABACO;LARGURA:80,UN,6,"R$ 298,00","1.788,00",,,#REF!,,,,,,,,
522,"BOX DUBAI 24CM X 1,98M X 79CM CRISTALFLEX",un,4,"R$ 149,71","598,84",,,#REF!,,,,,,,,
618,CADEIRA ITÁLIA ASSENTO PEQUENO TABACO,un,0,"R$ 113,00",0,,,#REF!,,,,,,,,
61,CADEIRA MADRI TALISMA COR/MATERIAL:VELUDO CHOCOLATE/TABACO,UN,-6,"R$ 111,30",0,,,#REF!,,,,,,,,
567,CADEIRA POP TALISMA COR/MATERIAL:ANIMALE BEGE/TABACO,UN,0,"R$ 74,20",0,,,#REF!,,,,,,,,
458,CADEIRA RUBIN CANDIAN ESTOFADO COR:LINHO 2904,UN,0,"R$ 144,56",0,,,#REF!,,,,,,,,
66,CADEIRA VENEZA TALISMA COR/MATERIAL:VELUDO CHOCOLATE/TABACO,UN,29,"R$ 74,20","2.151,80",,,#REF!,,,,,,,,
5,"COLCHAO 188X138X20 STRATUS AG 65 BORD. 1,38X20 D65",UN,0,"R$ 384,82",0,,,#REF!,,,,,,,,
9,COLCHÃO DREAM GAZIN TAMANHO:188X138,UN,4,"R$ 237,02","948,08",,,#REF!,,,,,,,,
10,COLCHÃO DREAM GAZIN TAMANHO:188X88,UN,6,"R$ 144,00",864,,,#REF!,,,,,,,,
105,COLCHAO GAZIN ESPUMA SUPREME D28 TAMANHO:14 X 188 X 138,UN,0,"R$ 335,56",0,,,#REF!,,,,,,,,
104,COLCHAO GAZIN ESPUMA SUPREME D28 TAMANHO:14 X 188 X 88,UN,0,"R$ 215,79",0,,,#REF!,,,,,,,,
365,COLCHÃO MAJESTIC 188X138,UN,1,"R$ 561,17","561,17",,,#REF!,,,,,,,,
127,COLCHÃO MOLA ENSACADA INDIVIDUALMENTE EXCEL CRISTALFLEX TAMANHO:22X198X156,UN,0,"R$ 579,00",0,,,#REF!,,,,,,,,
121,COLCHÃO MOLA ENSACADA INDIVIDUALMENTE FLASH TAMANHO:22X188X138,UN,1,"R$ 410,00",410,,,#REF!,,,,,,,,
120,COLCHÃO MOLA ENSACADA INDIVIDUALMENTE FLASH TAMANHO:22X188X88,UN,6,"R$ 314,21","1.885,26",,,#REF!,,,,,,,,
59,COLCHÃO MOLA POCKET 1P VENNTI 188X138X25CM,UN,0,"R$ 487,35",0,,,#REF!,,,,,,,,
7,COLCHÃO MOLA POCKET 1P VENNTI 188X88X25CM,UN,-1,"R$ 285,91",0,,,#REF!,,,,,,,,
2,COLCHÃO NUVOLE TAMANHO:188X138,UN,1,"R$ 199,27","199,27",,,#REF!,,,,,,,,
3,COLCHÃO NUVOLE TAMANHO:188X78,UN,10,"R$ 130,68","1.306,80",,,#REF!,,,,,,,,
4,COLCHÃO NUVOLE TAMANHO:188X88,UN,4,"R$ 137,90","551,6",,,#REF!,,,,,,,,
111,"COLCHAO STRATUS AG 65 BORD. 0,88X20 D65",UN,1,"R$ 252,61","252,61",,,#REF!,,,,,,,,
519,COMODA CAMARIM  IDEAL BRANCO,UN,0,"R$ 0,00",0,,,#REF!,,,,,,,,
518,COMODA CAMARIM BELLA  BRANCO,UN,3,"R$ 394,81","1.184,43",,,#REF!,,,,,,,,
414,COMODA FRANCA SAPATEIRA 3 PTS 2 PTS COR:FREIJO/GRAFITE,UN,1,"R$ 487,20","487,2",,,#REF!,,,,,,,,
,COMODA GRECIA MOPAR COR:FREIJO/GRAFITE,UN,1,"R$ 296,80","296,8",,,#REF!,,,,,,,,
320,COMODA SAPATEIRA 1 PT 3 GAVTS 1 SP LILLE COR:BRANCO LINE/BRANCO LINE/BOUCLE,UN,1,"R$ 283,30","283,3",,,#REF!,,,,,,,,
,COMODA TEXAS MOPAR COR:BRANCO,UN,0,"R$ 387,20",0,,,#REF!,,,,,,,,
,COMODA TEXAS MOPAR COR:FREIJO/GRAFITE,UN,0,"R$ 387,20",0,,,#REF!,,,,,,,,
,COMODA TEXAS MOPAR COR:FREIJO/OFF WHITE,UN,0,"R$ 387,20",0,,,#REF!,,,,,,,,
214,COMODA TEXAS MOVAL COR:FREIJO/OFF WHITE,UN,3,"R$ 450,58","1.351,74",,,#REF!,,,,,,,,
205,COZINHA COMPACTA EVELYN COR:ANGELIN/DAMASCO,UN,2,"R$ 385,62","771,24",,,#REF!,,,,,,,,
206,COZINHA COMPACTA EVELYN COR:CARVALHO/OFF WHITE,UN,2,"R$ 385,62","771,24",,,#REF!,,,,,,,,
,COZINHA COMPACTA JULLY COR:FREIJO/CHUMBO,UN,3,"R$ 631,00","1.893,00",,,#REF!,,,,,,,,
,COZINHA COMPACTA JULLY COR:FREIJO/MOKA,UN,1,"R$ 631,00",631,,,#REF!,,,,,,,,
208,COZINHA COMPACTA SOPHIA COR:ANGELIN/GRAFITE,UN,3,"R$ 340,81","1.022,43",,,#REF!,,,,,,,,
,COZINHA COMPACTA TOKYO COR:FREIJO/CHUMBO,UN,0,"R$ 587,49",0,,,#REF!,,,,,,,,
203,COZINHA COMPACTA YARA COR:AMENDOA/NUDE,UN,3,"R$ 311,43","934,29",,,#REF!,,,,,,,,
441,ESCRIVANINHA PENTEADEIRA MONALISA NEW COR:BRANCO BRILHO,UN,0,"R$ 282,80",0,,,#REF!,,,,,,,,
,ESTANTE AGNE COR:MARROM CRU,UN,-3,"R$ 100,00",0,,,#REF!,,,,,,,,
372,ESTANTE AGNE COR:VARIADA,UN,1,"R$ 100,00",100,,,#REF!,,,,,,,,
390,GUARDA ROUPA 6 PTS 2 GVTS VERONA COR:ANGELIN/BRANCO LINE/ANGELIN/BOUCLE,UN,3,"R$ 680,81","2.042,43",,,#REF!,,,,,,,,
328,GUARDA ROUPA 6 PTS SONATA NEW SEM ESP COR:ANGELIN/DUNA LINE/BOUCLE,UN,1,"R$ 782,33","782,33",,,#REF!,,,,,,,,
329,GUARDA ROUPA 6 PTS SONATA NEW SEM ESP COR:BRANCO LINE/BRANCO LINE/BOUCLE,UN,0,"R$ 782,33",0,,,#REF!,,,,,,,,
,GUARDA ROUPA CHILE 3 PORTAS E 2 GAVETAS COR:BRANCO,UN,0,"R$ 323,20",0,,,#REF!,,,,,,,,
,GUARDA ROUPA CHILE 3 PORTAS E 2 GAVETAS COR:FREIJO/GRAFITE,UN,3,"R$ 323,20","969,6",,,#REF!,,,,,,,,
,GUARDA ROUPA CHILE 3 PORTAS E 2 GAVETAS COR:FREIJO/OFFWHITE,UN,0,"R$ 323,20",0,,,#REF!,,,,,,,,
384,GUARDA ROUPA LYON PLUS 3PTS CORRER COR:ANGELIN/DUNA LINE/BOUCLE,UN,1,"R$ 692,55","692,55",,,#REF!,,,,,,,,
385,GUARDA ROUPA LYON PLUS 3PTS CORRER COR:ANGELIN/TITÂNIO/BOUCLE,UN,0,"R$ 692,55",0,,,#REF!,,,,,,,,
532,GUARDA ROUPA MALI NEW COR:CEDRO/BLANC/BOUCLE,UN,3,"R$ 517,91","1.553,73",,,#REF!,,,,,,,,
391,GUARDA ROUPA MALI NEW COR:CEDRO/DUNA LINE/BOUCLE,UN,6,"R$ 517,91","3.107,46",,,#REF!,,,,,,,,
113,GUARDA ROUPA MONZA 4 PORTAS E 2 GAVETAS COR:BRANCO,UN,2,"R$ 452,60","905,2",,,#REF!,,,,,,,,
114,GUARDA ROUPA MONZA 4 PORTAS E 2 GAVETAS COR:FREIJO/GRAFITE,UN,3,"R$ 452,60","1.357,80",,,#REF!,,,,,,,,
529,GUARDA ROUPA PEQUIM 6 PTS 2 GVTS SOLUTION COR:BRANCO LINE/ BRANCO LINE/ BOUCLE,UN,1,"R$ 477,75","477,75",,,#REF!,,,,,,,,
387,GUARDA ROUPA RUDÁ 2 PTS 2 GVTS COR:BRANCO LINE/BRANCO LINE-DUNA LINE/BOUCLE,UN,0,"R$ 625,20",0,,,#REF!,,,,,,,,
449,GUARDA ROUPA RUDÁ 2 PTS 2 GVTS COR:CEDRO/BRANCO LINE-DUNA LINE/BOUCLE,UN,2,"R$ 609,89","1.219,78",,,#REF!,,,,,,,,
,GUARDA ROUPA TOQUIO 4 PTS 2 GVTS SOLUTION COR:BRANCO BOUCLE,UN,0,"R$ 357,52",0,,,#REF!,,,,,,,,
,GUARDA ROUPA TOQUIO 4 PTS 2 GVTS SOLUTION COR:MACADAMIA/BLANC/BOUCLE,UN,4,"R$ 357,52","1.430,08",,,#REF!,,,,,,,,
